#,station-id,range,az,el
2023-04-21 00:35:14.918930,78393402,2258292.1796559514,,
2023-04-21 00:38:15.667580,78393402,2175999.2661045287,,
2023-04-21 00:38:47.541764,78393402,2218600.800126224,,
2023-04-21 00:39:15.413100,78393402,2268843.991438659,,
2023-04-21 00:39:42.700402,78393402,2328972.5830308846,,
2023-04-21 00:40:18.138920,78393402,2421825.343102681,,
2023-04-21 00:40:42.622408,78393402,2494794.75707855,,
2023-04-21 00:41:12.248054,78393402,2591695.861290017,,
2023-04-21 00:41:40.003610,78393402,2690131.8444269155,,
2023-04-21 00:33:53.163373,78418701,1989279.7105630334,,
2023-04-21 00:34:16.784593,78418701,1947596.9974048906,,
2023-04-21 00:34:42.135871,78418701,1914092.4676581833,,
2023-04-21 00:35:02.951747,78418701,1895717.3978043403,,
2023-04-21 00:34:19.108750,88341001,2220853.3932884275,,
2023-04-21 00:34:48.075378,88341001,2170269.983104616,,
2023-04-21 00:35:06.045214,88341001,2145579.191983625,,
2023-04-21 00:36:09.482924,88341001,2102157.403462304,,
2023-04-21 00:36:48.019478,88341001,2110256.89390175,,
2023-04-21 00:37:04.764056,88341001,2121900.6692837877,,
2023-04-21 00:38:20.890100,88341001,2233700.3582696384,,
2023-04-21 00:38:48.145885,88341001,2295287.402246288,,
2023-04-21 00:39:05.041189,88341001,2338556.4733416834,,
2023-04-21 00:40:34.229191,88341001,2622124.7226276575,,
2023-04-21 00:36:26.548030,78272201,2102470.397281192,,
2023-04-21 00:36:47.075078,78272201,2109711.034642252,,
2023-04-21 02:29:24.954263,88341001,2557427.688052698,,
2023-04-21 02:29:32.993793,88341001,2516831.5500242454,,
2023-04-21 02:30:51.602130,88341001,2139964.810888779,,
2023-04-21 02:31:19.327908,88341001,2018322.847817494,,
2023-04-21 02:31:32.098450,88341001,1964856.0773924415,,
2023-04-21 02:31:48.645668,78272201,1898274.772720526,,
2023-04-21 02:32:25.623762,78272201,1762393.3791518484,,
2023-04-21 02:32:42.831386,78272201,1706168.8114601157,,
2023-04-21 02:33:04.104970,78272201,1643780.8265133617,,
2023-04-21 02:33:39.899404,78272201,1559058.1288165005,,
2023-04-21 02:34:05.001122,78272201,1516768.8647648038,,
2023-04-21 02:34:59.989876,78272201,1479688.797161447,,
2023-04-21 02:35:16.142904,78272201,1483992.942963312,,
2023-04-21 02:35:45.211072,78272201,1509011.1413249867,,
2023-04-21 02:36:15.912400,78272201,1558408.2630092374,,
2023-04-21 02:36:51.684964,78272201,1642834.4962441744,,
2023-04-21 02:37:21.568562,78272201,1732577.155394037,,
2023-04-21 02:37:30.149754,78272201,1761179.863051563,,
2023-04-21 02:33:52.319815,78418701,1531111.091248017,,
2023-04-21 02:34:14.746319,78418701,1531760.5689739434,,
2023-04-21 02:34:44.965461,78418701,1553038.9304708056,,
2023-04-21 02:35:13.655235,78418701,1594079.2231673794,,
2023-04-21 02:35:45.307683,78418701,1661028.9874600074,,
2023-04-21 02:36:13.029185,78418701,1736304.0821463347,,
2023-04-21 02:36:37.317199,78418701,1813413.789456771,,
2023-04-21 17:25:21.652699,78403501,2254534.796987845,,
2023-04-21 17:25:46.328442,78403501,2166088.320059703,,
2023-04-21 17:26:15.564449,78403501,2071307.0806963388,,
2023-04-21 17:26:45.700505,78403501,1986596.0614146793,,
2023-04-21 17:27:04.602047,78403501,1940996.9168455838,,
2023-04-21 17:28:22.471718,78403501,1824176.4888949923,,
2023-04-21 17:28:44.711701,78403501,1813906.292853764,,
2023-04-21 17:29:14.205537,78403501,1816941.4359179435,,
2023-04-21 17:29:42.862629,78403501,1837970.594934093,,
2023-04-21 17:30:16.222937,78403501,1884059.7367851287,,
2023-04-21 17:30:43.963674,78403501,1938935.6347414907,,
2023-04-21 17:31:13.757729,78403501,2013093.2990587656,,
2023-04-21 17:31:47.405359,78403501,2113681.110166158,,
2023-04-21 17:32:15.941792,78403501,2211190.646019165,,
2023-04-21 17:32:40.654027,78403501,2303477.7312994706,,
2023-04-21 17:27:55.638404,78272201,1558785.846213824,,
2023-04-21 17:28:12.623162,78272201,1522547.5570094078,,
2023-04-21 17:28:37.706888,78272201,1481504.4942305223,,
2023-04-21 17:29:19.962670,78272201,1448957.7741060113,,
2023-04-21 17:29:58.438752,78272201,1461269.0528350978,,
2023-04-21 17:30:17.245888,78272201,1481671.3255855783,,
2023-04-21 17:33:52.285702,78272201,2203067.969780913,,
2023-04-21 17:34:01.086980,78272201,2244710.463082683,,
2023-04-21 17:34:53.474700,78272201,2502666.4839454363,,
2023-04-21 17:35:02.490006,78272201,2548539.0353389257,,
2023-04-21 17:28:57.086081,78418701,1571055.449594154,,
2023-04-21 17:29:22.409761,78418701,1522946.8153586043,,
2023-04-21 17:29:45.922555,78418701,1492164.4700828022,,
2023-04-21 17:30:09.126447,78418701,1475753.8198395614,,
2023-04-21 17:30:45.867469,78418701,1479154.4153063071,,
2023-04-21 17:31:16.311669,78418701,1509024.1915904758,,
2023-04-21 17:31:49.339057,78418701,1567428.523113109,,
2023-04-21 17:32:16.966509,78418701,1635004.5526513292,,
2023-04-21 17:32:40.590473,78418701,1704681.861254323,,
2023-04-21 17:33:08.106095,78418701,1797832.4838701715,,
2023-04-21 17:33:46.016569,78418701,1943886.1459738794,,
2023-04-21 17:34:12.246809,78418701,2054819.4334070438,,
2023-04-21 17:34:43.087235,78418701,2193614.7703946694,,
2023-04-21 17:35:08.801045,78418701,2315069.5333119235,,
2023-04-21 17:31:13.221737,88341001,1593456.6422211998,,
2023-04-21 17:31:37.057818,88341001,1661407.9554059575,,
2023-04-21 19:22:27.321958,78403501,2297473.353193937,,
2023-04-21 19:22:48.389563,78403501,2210158.292102909,,
2023-04-21 19:23:16.042901,78403501,2102173.710223368,,
2023-04-21 19:23:42.620897,78403501,2006564.8802890342,,
2023-04-21 19:24:03.777493,78403501,1937027.9971714998,,
2023-04-21 19:27:27.699583,78403501,1693990.9956865478,,
2023-04-21 19:27:43.972713,78403501,1713755.1005314763,,
2023-04-21 19:28:13.915053,78403501,1764646.698411385,,
2023-04-21 19:28:44.086503,78403501,1833522.7290775515,,
2023-04-21 19:29:13.881060,78403501,1916963.0513444496,,
2023-04-21 19:29:42.115491,78403501,2008388.8394883557,,
2023-04-21 19:30:14.653853,78403501,2126521.731988646,,
2023-04-21 19:30:40.266360,78403501,2227715.6997625106,,
2023-04-21 19:28:48.515262,78113802,2124448.0603616415,,
2023-04-21 19:29:07.415178,78113802,2109191.4533908674,,
2023-04-21 19:29:49.715102,78113802,2097725.591042199,,
2023-04-21 19:30:21.915221,78113802,2110206.4998388337,,
2023-04-21 19:30:45.715336,78113802,2131037.1830569194,,
2023-04-21 19:31:21.415654,78113802,2180056.0501513733,,
2023-04-21 19:31:43.715916,78113802,2220929.9554855214,,
2023-04-21 19:33:43.418142,78113802,2554018.9956413503,,
2023-04-21 19:37:21.904970,18889801,2348875.0196107454,,
2023-04-21 19:37:36.800012,18889801,2411227.8570396197,,
2023-04-21 19:50:17.010227,78212801,2057466.050392231,,
2023-04-21 19:50:44.661439,78212801,1939461.8493506971,,
2023-04-21 19:51:10.587753,78212801,1836616.892432834,,
2023-04-21 19:51:49.896331,78212801,1698323.8713491438,,
2023-04-21 19:52:12.739373,78212801,1629652.4938545348,,
2023-04-21 19:52:43.894357,78212801,1552453.8484646499,,
2023-04-21 19:53:15.915479,78212801,1495736.2983075764,,
2023-04-21 19:53:31.411857,78212801,1477355.4608965302,,
